evenement,lieu,moment,individus,texte
interférence sur une fréquence radio locale,porte de la vieille ville,mardi,"quelqu’un, quelqu’un, un garagiste, le collègue de travail, le collègue de travail, un employé de mairie, un ami","Un événement troublant a eu lieu. La scène s’est produite à porte de la vieille ville. Le moment exact reste flou, mais cela remonterait à mardi. quelqu’un, quelqu’un, un garagiste, le collègue de travail, le collègue de travail, un employé de mairie, un ami aurait été directement concerné."
jets de pierres sur un véhicule,arc de triomphe régional,mars,"un ingénieur, un inconnu, la patronne","Une situation inhabituelle a attiré l’attention. On localise les faits dans la zone de arc de triomphe régional. Les faits datent de mars, d'après certaines sources. La présence de un ingénieur, un inconnu, la patronne est signalée sur les lieux."
utilisation de projectiles incendiaires,"chemin des Acacias, Millau",12h52,"un homme, un témoin, un ami, un habitant, un avocat, un notaire, la patronne","Un fait divers a marqué les esprits. chemin des Acacias, Millau serait le le point de départ de l'incident. On évoque 12h52 comme repère temporel. un homme, un témoin, un ami, un habitant, un avocat, un notaire, la patronne a été identifié comme partie prenante."
activation spontanée d’un haut-parleur,avenue Jean Jaurès,23,,Un incident non élucidé a été rapporté. Le lieu de l’incident a été identifié comme avenue Jean Jaurès. La période de 23 est mentionnée.
ralentissement brutal de la circulation,"impasse de la Paix, Issoire",5/08,"Élise Hubert, une pharmacienne, un policier, un douanier, un notaire, un voisin, Élise, un résident","Un événement troublant a eu lieu. C’est dans les environs de impasse de la Paix, Issoire que les faits se sont produits. 5/08 correspondrait à la période des faits. Élise Hubert, une pharmacienne, un policier, un douanier, un notaire, un voisin, Élise, un résident semble impliqué d’une manière ou d’une autre."
menaces verbales en pleine rue,chemin du Maréchal Foch,,"une technicienne, la sœur, le neveu","Une situation inhabituelle a attiré l’attention. Plusieurs sources mentionnent chemin du Maréchal Foch comme contexte géographique. La situation aurait impliqué une technicienne, la sœur, le neveu."
port d’arme prohibé,84753,,"un témoin, le mari de Marie","Un signalement d’arme a été transmis aux autorités. Les informations pointent vers 84753. un témoin, le mari de Marie figure dans les rapports initiaux."
tentative de piratage informatique,Vire,,"un douanier, une voisine, un inconnu, la patronne, une femme, un agent immobilier, le mari de Marie","Un incident non élucidé a été rapporté. Tout se serait déroulé autour de la Vire. Une implication possible de un douanier, une voisine, un inconnu, la patronne, une femme, un agent immobilier, le mari de Marie est évoquée."
activation spontanée d’un haut-parleur,Nyons,vendredi 13 juin 2008,une boulangère,"Un événement troublant a eu lieu. La scène s’est produite à la Nyons. Le moment exact reste flou, mais cela remonterait à vendredi 13 juin 2008. une boulangère aurait été directement concerné."
accident de jardinage,"5 boulevard des Acacias, Tulle",jeudi 3 août 2017,,"Une situation inhabituelle a attiré l’attention. On localise les faits dans la zone de 5 boulevard des Acacias, Tulle. Les faits datent de jeudi 3 août 2017, d'après certaines sources."
impact de balle de sport sur visage,boulevard des Chênes,15h22,"un suspect, la cousine, le collègue de travail","Un fait divers a marqué les esprits. boulevard des Chênes serait le le point de départ de l'incident. On évoque 15h22 comme repère temporel. un suspect, la cousine, le collègue de travail a été identifié comme partie prenante."
mouvement d’un objet sans cause mécanique,"65 rue des Tilleuls, Carpentras",14h et 23 minutes,"Zoé Girard, Sophie Fabre","Un incident non élucidé a été rapporté. Le lieu de l’incident a été identifié comme 65 rue des Tilleuls, Carpentras. La période de 14h et 23 minutes est mentionnée. Des témoignages font état de Zoé Girard, Sophie Fabre."
conflit entre automobilistes,avenue Paul Bert,,"un chauffeur de taxi, le frère, un inconnu, Marie Renard, un individu, le fiancé","Un événement troublant a eu lieu. C’est dans les environs de avenue Paul Bert que les faits se sont produits. un chauffeur de taxi, le frère, un inconnu, Marie Renard, un individu, le fiancé semble impliqué d’une manière ou d’une autre."
anomalie de clignotement sur un dispositif lumineux,Hauts-de-France,,"une pharmacienne, un ami, un employé de mairie, Paul Adam, quelqu’un, un passant, la femme de Julien","Une situation inhabituelle a attiré l’attention. Plusieurs sources mentionnent Hauts-de-France comme contexte géographique. La situation aurait impliqué une pharmacienne, un ami, un employé de mairie, Paul Adam, quelqu’un, un passant, la femme de Julien."
usage d’une fausse carte d’identité,8852,,un inconnu,Un fait divers a marqué les esprits. Les informations pointent vers 08852. un inconnu figure dans les rapports initiaux.
oscillation amplifiée d’un support fixe,Lannion,21,une amie,Un incident non élucidé a été rapporté. Tout se serait déroulé autour de la Lannion. 21 : c’est ce qu’indiquent plusieurs témoignages. Une implication possible de une amie est évoquée.
intrusion dans une zone protégée,fontaine aux lions,5h21,un jeune homme,"Un événement troublant a eu lieu. La scène s’est produite à fontaine aux lions. Le moment exact reste flou, mais cela remonterait à 5h21. un jeune homme aurait été directement concerné."
incendie volontaire d’un conteneur,"200 boulevard Pasteur, Beaune",12h11,"un policier, une femme","Un acte de vol a été commis discrètement. On localise les faits dans la zone de 200 boulevard Pasteur, Beaune. Les faits datent de 12h11, d'après certaines sources. La présence de un policier, une femme est signalée sur les lieux."
violence sur agent public,Occitanie,décembre,,Un fait divers a marqué les esprits. Occitanie serait le le point de départ de l'incident. On évoque décembre comme repère temporel.
explosion d’un aérosol,"110 impasse Lavoisier, Digne-les-Bains",3h et 38 minutes,"le frère, un jeune homme","Un incident non élucidé a été rapporté. Le lieu de l’incident a été identifié comme 110 impasse Lavoisier, Digne-les-Bains. La période de 3h et 38 minutes est mentionnée. Des témoignages font état de le frère, un jeune homme."
tentative de viol,Nord,,"Girard, la sœur, Marchand","Un événement troublant a eu lieu. C’est dans les environs de Nord que les faits se sont produits. Girard, la sœur, Marchand semble impliqué d’une manière ou d’une autre."
jets de pierres sur vitrine,Carpentras,,"un douanier, une voisine, un inconnu, la patronne, une femme, un agent immobilier, le mari de Marie","Une situation inhabituelle a attiré l’attention. Plusieurs sources mentionnent Carpentras comme contexte géographique. La situation aurait impliqué un douanier, une voisine, un inconnu, la patronne, une femme, un agent immobilier, le mari de Marie."
usage d’un pistolet à billes sur piétons,"avenue Gambetta, Bagnols-sur-Cèze",vendredi 13 juin 2008,"une juge, le frère, Mathis Moreau, un ingénieur, Hugo Lemoine, une amie, un douanier","Un fait divers a marqué les esprits. Les informations pointent vers avenue Gambetta, Bagnols-sur-Cèze. Ce moment précis : vendredi 13 juin 2008, revient souvent. une juge, le frère, Mathis Moreau, un ingénieur, Hugo Lemoine, une amie, un douanier figure dans les rapports initiaux."
incendie volontaire d’un conteneur,impasse des Frênes,à minuit,,Une effraction semble avoir été perpétrée. Tout se serait déroulé autour de impasse des Frênes. à minuit : c’est ce qu’indiquent plusieurs témoignages.
distorsion sonore dans un haut-parleur mural,rue des Chênes,29/10/2017,,"Un événement troublant a eu lieu. La scène s’est produite à rue des Chênes. Le moment exact reste flou, mais cela remonterait à 29/10/2017."
vol de colis dans un hall d’immeuble,"19 boulevard Paul Bert, Louviers",avril,la patronne,"Un acte de vol a été commis discrètement. On localise les faits dans la zone de 19 boulevard Paul Bert, Louviers. Les faits datent de avril, d'après certaines sources. La présence de la patronne est signalée sur les lieux."
décrochage d’un panneau suspendu,Bourgogne-Franche-Comté,11 juin 2025,un médecin,Un fait divers a marqué les esprits. Bourgogne-Franche-Comté serait le le point de départ de l'incident. On évoque 11 juin 2025 comme repère temporel. un médecin a été identifié comme partie prenante.
rotation lente d’un axe sans assistance,Limousin,5 nov. 2002,"un inconnu, un jeune homme","Un incident non élucidé a été rapporté. Le lieu de l’incident a été identifié comme Limousin. La période de 5 nov. 2002 est mentionnée. Des témoignages font état de un inconnu, un jeune homme."
dégradation de mobilier urbain,"esplanade des droits de l’homme, Morlaix",,"le frère, un homme, un inconnu","Un événement troublant a eu lieu. C’est dans les environs de esplanade des droits de l’homme, Morlaix que les faits se sont produits. le frère, un homme, un inconnu semble impliqué d’une manière ou d’une autre."
prise à partie dans un ascenseur,pont médiéval,,"un tiers, Paul Fabre, un tiers","Une situation inhabituelle a attiré l’attention. Plusieurs sources mentionnent pont médiéval comme contexte géographique. La situation aurait impliqué un tiers, Paul Fabre, un tiers."
glissade sur carrelage mouillé,colonne commémorative,12 février,un passant,"Un fait divers a marqué les esprits. Les informations pointent vers colonne commémorative. Ce moment précis : 12 février, revient souvent. un passant figure dans les rapports initiaux."
chute d’une planche de bois,"terrain de pétanque, Mâcon",le 5/04/2008 à 13h28,"une femme, un garagiste, Léa Moreau, Maxime Lemoine","Un incident non élucidé a été rapporté. Tout se serait déroulé autour de terrain de pétanque, Mâcon. le 5/04/2008 à 13h28 : c’est ce qu’indiquent plusieurs témoignages. Une implication possible de une femme, un garagiste, Léa Moreau, Maxime Lemoine est évoquée."
menace écrite déposée sur un pare-brise,boulevard des Lilas,07h08,"Camille Adam, un facteur, le mari de Marie, un chauffeur de taxi","Un événement troublant a eu lieu. La scène s’est produite à boulevard des Lilas. Le moment exact reste flou, mais cela remonterait à 07h08. Camille Adam, un facteur, le mari de Marie, un chauffeur de taxi aurait été directement concerné."
présence de tags récents,Haute-Marne,03/2025,Lucas,"Une situation inhabituelle a attiré l’attention. On localise les faits dans la zone de Haute-Marne. Les faits datent de 03/2025, d'après certaines sources. La présence de Lucas est signalée sur les lieux."
